ra,dec
57.09167,-36.10694
57.12553,-39.42502
57.30188,-36.97406
57.32729,-32.31275
57.45425,-35.94558
57.47233,-32.25908
57.65304,-35.90933
57.70046,-34.06622
57.71945,-35.17102
57.755,-36.68333
57.92042,-38.45222
58.00383,-33.46764
58.51424,-36.06365
58.58387,-36.96889
58.61854,-35.96714
58.86035,-39.88661
58.94392,-36.26192
58.94483,-36.26325
58.96908,-40.6844
59.03929,-37.26725
59.92454,-36.70497
60.17338,-30.831
61.1055,-36.1805
61.17175,-34.96542
61.19679,-33.9358
61.197,-33.93558
61.26854,-35.00898
61.3348,-36.81687
62.18993,-35.3895
62.50586,-31.25831
62.62034,-35.16221
62.69745,-32.81696
62.73946,-35.83113
62.73954,-35.83086
62.75221,-31.41147
62.75269,-31.40743
62.86033,-32.85753
62.99717,-32.85081
63.01804,-32.87422
63.14543,-32.81737
63.21092,-33.00203
63.22221,-31.30819
63.24904,-32.55328
63.29003,-34.42632
63.30779,-32.10081
63.41963,-31.64542
